File name prefix       : /home/pi/ad2_daq/data/20200705/sub0000
Sampling Frequency (Hz): 1e+07
Trigger Level (V)      : -1
Trigger Type           : Falling Negative
Trigger Position (s)   : 0.0003
Number of Events       : 10000
Rate(Hz) 4840 1593955391 10
Rate(Hz) 4850 1593955391 inf
Rate(Hz) 4860 1593955391 inf
Rate(Hz) 4870 1593955391 inf
Rate(Hz) 4880 1593955391 inf
Rate(Hz) 4890 1593955391 inf
Rate(Hz) 4900 1593955391 inf
Rate(Hz) 4910 1593955391 inf
Rate(Hz) 4920 1593955391 inf
Rate(Hz) 4930 1593955391 inf
Rate(Hz) 4940 1593955391 inf
Rate(Hz) 4950 1593955392 10
Rate(Hz) 4960 1593955392 inf
Rate(Hz) 4970 1593955392 inf
Rate(Hz) 4980 1593955392 inf
Rate(Hz) 4990 1593955392 inf
Rate(Hz) 5000 1593955392 inf
Rate(Hz) 5010 1593955392 inf
Rate(Hz) 5020 1593955392 inf
Rate(Hz) 5030 1593955392 inf
Rate(Hz) 5040 1593955392 inf
Rate(Hz) 5050 1593955392 inf
Rate(Hz) 5060 1593955392 inf
Rate(Hz) 5070 1593955392 inf
Rate(Hz) 5080 1593955392 inf
Rate(Hz) 5090 1593955392 inf
Rate(Hz) 5100 1593955393 10
Rate(Hz) 5110 1593955393 inf
Rate(Hz) 5120 1593955393 inf
Rate(Hz) 5130 1593955393 inf
Rate(Hz) 5140 1593955393 inf
Rate(Hz) 5150 1593955393 inf
Rate(Hz) 5160 1593955393 inf
Rate(Hz) 5170 1593955393 inf
Rate(Hz) 5180 1593955393 inf
Rate(Hz) 5190 1593955393 inf
Rate(Hz) 5200 1593955393 inf
Rate(Hz) 5210 1593955393 inf
Rate(Hz) 5220 1593955393 inf
Rate(Hz) 5230 1593955393 inf
Rate(Hz) 5240 1593955393 inf
Rate(Hz) 5250 1593955394 10
Rate(Hz) 5260 1593955394 inf
Rate(Hz) 5270 1593955394 inf
Rate(Hz) 5280 1593955394 inf
Rate(Hz) 5290 1593955394 inf
Rate(Hz) 5300 1593955394 inf
Rate(Hz) 5310 1593955394 inf
Rate(Hz) 5320 1593955394 inf
Rate(Hz) 5330 1593955394 inf
Rate(Hz) 5340 1593955394 inf
Rate(Hz) 5350 1593955394 inf
Rate(Hz) 5360 1593955394 inf
Rate(Hz) 5370 1593955394 inf
Rate(Hz) 5380 1593955394 inf
Rate(Hz) 5390 1593955394 inf
Rate(Hz) 5400 1593955395 10
Rate(Hz) 5410 1593955395 inf
Rate(Hz) 5420 1593955395 inf
Rate(Hz) 5430 1593955395 inf
Rate(Hz) 5440 1593955395 inf
Rate(Hz) 5450 1593955395 inf
Rate(Hz) 5460 1593955395 inf
Rate(Hz) 5470 1593955395 inf
Rate(Hz) 5480 1593955395 inf
Rate(Hz) 5490 1593955395 inf
Rate(Hz) 5500 1593955395 inf
